lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,linearity,curvature,spikiness,KLscore,change.idx,type
0.7228082586988105,0.9912249756646105,0.013142048513545992,1.732249351882196,1.7403104329423242,4080,186,0.5215310411872364,0.05282500067222274,3.003992381226769e-8,149.0493571778352,9808,MUS
1.269643219866448,0.9200360034676406,-0.49315760408578085,1.4010836133281137,1.4846111413851162,3330,511,0.12709320137793764,0.39260381970265107,4.139470664741133e-8,125.32117406642229,820,MUS
3.188626929458559,0.971635306174767,0.06533046279494567,1.446284357740187,1.1023380245659369,5210,48,0.6992293380679936,-2.347204777126859e-8,1.144092441195744e-7,293.0539525617339,7540,MUS
0.7247504276411625,0.8850188923956159,0.3324418592036798,1.7121345173841265,1.7502300254898828,3566,346,-0.10509037927457755,7.591635839307155e-9,2.3265308029386093e-8,54.22911545888043,9628,MUS
2.315611184492619,0.9822607358915497,-0.09196026043926048,1.346066988559993,1.6681365031538244,4628,773,-2.5941534340948524,-0.28942659264911397,9.560313393588405e-8,277.244027452626,8014,MUS
0.7217103576336669,0.8311673999154793,0.603521456091385,1.8040202568377122,1.5839166453433815,1196,158,5.228652514496815,-17.76977290006941,5.07367187689715e-8,119.07991665804144,8394,MUS
2.1021458871460426,0.9156118284209226,0.3481953946621108,1.4369303916358271,1.269115840804658,1782,589,-6.618090640798309,-4.021337653673958,1.012017152837227e-7,333.3862226849641,7293,MUS
0.8456025814228363,0.7917420744152623,-0.5938664900488776,1.381986296189944,2.7515768932785587,5608,350,-0.0265657439465876,-1.0022211903306475e-9,3.4901824408334944e-8,65.45220101004843,5202,MUS
2.374545147889875,0.9875903158809545,0.08317080275517577,1.0179332110932984,0.7215724664812123,2050,524,-0.05184692681316096,-2.2674322805480576,1.1889095611128394e-7,307.36840788771246,9576,MUS
4.368873467185806,0.9205109422984007,-0.7018289472942129,1.1591985702426206,1.4766271314601607,3934,272,0.32500074951139896,1.2800861113002239e-8,1.049652575705596e-7,163.50035125008105,7455,MUS
2.644273814545204,0.9807186626562718,0.17658988027336897,1.1440033793505369,0.8140298823395091,2014,668,-1.3849285730085457,0.9751865822752612,1.4541737004361487e-7,372.91827323739517,6003,MUS
1.4660634383678643,0.875908771377025,-0.4196905396265704,1.6271202331685617,1.3101200195162455,2666,257,0.38648859436623817,3.2803792986431016e-9,5.833256575281179e-8,92.75328872143635,9530,MUS
1.6822793861635954,0.9861493232504999,-0.052243096547034115,1.4318985677372673,1.8780047749153885,2244,262,-0.0844251550016451,-3.80572459534852e-8,5.6597012731211546e-8,167.34016931862095,3739,MUS
2.7632738995791484,0.9335449921462334,-0.08509063316431406,1.0542104604961469,1.3438524078940919,1518,405,1.0191514878619832,1.0782998905188712e-9,1.7318270524031774e-7,151.4393092853401,4968,MUS
