lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,linearity,curvature,spikiness,KLscore,change.idx
0.722808259,0.991224976,0.013142049,1.732249352,1.740310433,4080,186,0.521531041,0.052825001,3.00E-08,149.0493572,9808
1.26964322,0.920036003,-0.493157604,1.401083613,1.484611141,3330,511,0.127093201,0.39260382,4.14E-08,125.3211741,820
3.188626929,0.971635306,0.065330463,1.446284358,1.102338025,5210,48,0.699229338,-2.35E-08,1.14E-07,293.0539526,7540
0.724750428,0.885018892,0.332441859,1.712134517,1.750230025,3566,346,-0.105090379,7.59E-09,2.33E-08,54.22911546,9628
2.315611184,0.982260736,-0.09196026,1.346066989,1.668136503,4628,773,-2.594153434,-0.289426593,9.56E-08,277.2440275,8014
0.721710358,0.8311674,0.603521456,1.804020257,1.583916645,1196,158,5.228652514,-17.7697729,5.07E-08,119.0799167,8394
2.102145887,0.915611828,0.348195395,1.436930392,1.269115841,1782,589,-6.618090641,-4.021337654,1.01E-07,333.3862227,7293
0.845602581,0.791742074,-0.59386649,1.381986296,2.751576893,5608,350,-0.026565744,-1.00E-09,3.49E-08,65.45220101,5202
2.374545148,0.987590316,0.083170803,1.017933211,0.721572466,2050,524,-0.051846927,-2.267432281,1.19E-07,307.3684079,9576
4.368873467,0.920510942,-0.701828947,1.15919857,1.476627131,3934,272,0.32500075,1.28E-08,1.05E-07,163.5003513,7455
2.644273815,0.980718663,0.17658988,1.144003379,0.814029882,2014,668,-1.384928573,0.975186582,1.45E-07,372.9182732,6003
1.466063438,0.875908771,-0.41969054,1.627120233,1.31012002,2666,257,0.386488594,3.28E-09,5.83E-08,92.75328872,9530
1.682279386,0.986149323,-0.052243097,1.431898568,1.878004775,2244,262,-0.084425155,-3.81E-08,5.66E-08,167.3401693,3739
2.7632739,0.933544992,-0.085090633,1.05421046,1.343852408,1518,405,1.019151488,1.08E-09,1.73E-07,151.4393093,4968
1.323997075,0.96178466,-0.358573377,1.542507114,1.700602932,1008,86,0.10578101,-3.63E-09,4.14E-08,70.63492127,9901
0.82578133,0.955058618,-0.429911826,1.696826885,1.994192719,5316,83,0.045892161,2.07E-08,2.86E-08,74.75261841,5541
1.759365862,0.768875898,-0.492420214,0.982501004,0.988154455,2448,836,2.534542456,-2.36118112,6.18E-08,140.3985258,4320
1.695197381,0.964703976,-0.298979318,1.153895782,1.767722843,4088,65,1.121928166,1.69E-09,6.99E-08,129.3583037,6634
2.494864816,0.988347144,0.025212799,1.45700083,1.158435827,404,407,0.145037844,-1.26E-09,1.16E-07,255.1286155,6391
1.985423664,0.946357692,-0.586907359,1.380539143,1.757733991,6300,28,-0.130056137,3.40E-09,5.20E-08,124.6076338,9495
1.153028075,0.825356423,-0.450082996,1.671068968,2.051451407,5318,224,-0.05160254,-3.80E-10,3.85E-08,68.38487552,9161
9.905209511,0.94030948,0.023232709,1.193511625,0.718888592,112,1118,-0.195526618,2.34E-09,4.65E-07,403.7309327,6630
4.791388063,0.919840541,-0.251823352,1.517383299,1.44090003,4270,34,0.012962669,-7.51E-11,1.30E-07,134.9544173,4177
0.813975367,0.641602207,0.757065322,1.732416768,1.528271461,1985,15,-0.047304666,-7.34E-10,2.09E-08,25.20760441,9114
1.695439762,0.9681058,-0.403261565,1.145102871,1.516224764,2474,229,-0.327476989,-7.75E-09,6.37E-08,107.8024231,8125
1.36961981,0.966044296,-0.434837349,1.277445125,1.931903794,3188,116,0.453633072,-4.93E-09,5.34E-08,106.5203588,9112
2.787813981,0.984371071,0.044025176,1.347100479,1.152974638,1262,186,-0.22535989,-0.308448513,1.21E-07,144.9925291,6903
1.901262251,0.971116437,0.316536504,1.446540972,1.141018701,2764,64,-2.596786144,-2.007846212,1.38E-07,193.7454454,9451
0.886347361,0.769139609,0.527157545,1.476875586,1.831209059,634,44,0.290458408,1.29E-09,5.21E-08,120.9914514,157
1.166843769,0.892052193,-0.399853405,1.314132288,1.990674777,2048,163,0.850561874,1.07E-07,4.98E-08,71.54737937,3015
2.831779425,0.986071828,-0.011923605,1.250870713,1.047024523,2494,305,1.380775986,-9.53E-08,1.02E-07,145.0918092,8194
1.516042499,0.965299015,-0.278648683,1.088942515,1.718086891,2542,331,-0.887321017,-1.26E-08,7.41E-08,154.1506406,7581
0.619219468,0.988799624,0.070712592,1.12840936,0.872449685,3172,395,3.466746639,1.389528287,4.82E-08,79.13652925,4732
3.555848818,0.924226378,-0.076097107,0.957277932,1.036430812,694,400,0.59293492,-8.25E-10,2.11E-07,248.2426444,1391
10.69468208,0.91224191,-0.727232372,1.257667427,1.762710353,586,285,-0.215786633,1.50E-09,2.71E-07,201.7766264,864
0.65655092,0.973115013,-0.354651591,1.415741819,1.005601333,5935,62,-0.340374452,-2.44E-09,3.03E-08,45.18722993,4774
0.902204903,0.853943492,-0.230251636,1.253041868,1.343207518,4498,218,-0.024238276,1.32E-09,4.20E-08,70.54224353,926
1.569645875,0.987863551,-0.010245289,1.787471772,1.859153632,3390,132,-0.018208069,0.032111967,6.19E-08,296.068565,9648
2.999609514,0.990354538,0.018120775,1.324768396,1.267034919,3788,20,0.319825348,-4.70E-05,9.21E-08,142.8317641,9408
2.234358869,0.959224436,-0.456124669,1.494792224,2.248119409,3104,102,-0.982780544,6.09E-09,5.81E-08,219.9752441,5756
1.366971108,0.884258596,-0.754032476,1.447041835,2.141238561,7437,17,0.270577415,1.74E-09,3.17E-08,90.08799981,9043
1.552558279,0.88029467,-0.499690695,1.497381934,1.354380355,4276,124,-0.229357731,-5.11E-09,3.89E-08,83.79218071,702
9.659601433,0.928240438,-0.441434029,1.905773645,1.35840484,1312,95,-0.027829577,2.58E-10,1.80E-07,206.9339971,6800
1.624367067,0.991006432,0.048425414,1.453791599,1.851835852,36,93,3.223033646,2.331008528,1.16E-07,136.3995148,3491
1.910476658,0.991486366,0.011847801,1.415855437,1.441967488,2922,126,-0.061568751,6.04E-09,1.31E-07,77.97683564,6986
1.028633865,0.991360518,0.057677533,1.433650259,1.664128539,4042,72,-2.572747298,-2.787519773,5.17E-08,110.6095374,8025
0.924876797,0.989132057,-0.044979466,1.460594082,1.712330835,4786,334,-0.971966993,6.98E-09,4.27E-08,72.1074425,9586
0.977898874,0.990962512,0.069361265,1.487464541,2.155248928,410,159,-0.829417913,-0.990168084,4.47E-08,84.3834702,9655
1.346897259,0.988521858,0.11448824,1.154584745,1.351436122,36,16,1.663339663,-0.476568762,9.43E-08,250.0829131,6587
32.39262927,0.882124664,-0.561617076,1.36409096,0.972440325,1932,189,-0.075089632,-8.94E-10,5.14E-07,229.5774992,5082
0.548574169,0.876424481,-0.568803459,1.464544831,2.354543837,6848,21,0.260018815,1.30E-09,2.26E-08,33.84086232,25
1.678667829,0.936474247,-0.522159906,1.357851561,1.793563838,6323,45,0.160510101,1.75E-08,4.40E-08,64.22134732,5037
1.235872698,0.97750369,-0.012883018,1.709419206,1.124950059,1574,58,0.899193611,3.52E-09,7.33E-08,152.4567648,118
9.651195896,0.816088534,-0.204515915,1.014312187,0.773831381,570,946,-1.399964789,2.125642532,3.22E-07,274.2196328,9589
2.708147536,0.837655483,-0.723626361,2.324027083,2.334438981,6020,150,0.024570292,2.95E-10,3.79E-08,128.5109989,1672
20.20187004,0.822074493,-0.235373933,0.319059671,0.057203948,279,8979,-19.16455594,-21.03067395,3.97E-07,809.7820599,9915
1.272821457,0.969237266,-0.273436474,1.288762901,1.83847168,5036,45,1.117369933,4.19E-09,4.44E-08,137.404425,7210
1.037325454,0.979114364,0.099721393,1.100190055,0.85523551,1743,1040,0.474027963,-1.40534393,7.79E-08,172.1458068,6375
20.05602564,0.95190706,-0.216776831,1.491492278,1.195776392,924,783,0.243515241,1.69E-09,3.66E-07,375.481678,4407
